ABILITY,アビリティ
ABYSSAL_SHIP,深海棲艦
ACORN,ドングリ
ALCHEMY,錬金術
ADVENTURER,冒険者
AFTERGLOW,Afterglow
AFTER_SCHOOL,放課後
AGRICULTURE,農業
ALIEN,宇宙人
ALONE,アローン
AIRCRAFT_CARRIER,正規空母
AMA_USA_AN,甘兎庵
ANGEL,天使
ANIMAL,動物
ANIMAL,物
ANTI_SPIRAL,アンチスパイラル
ARMY,軍隊
ARATRUM,アラトラム号
ARMORED_CARRIER,装甲空母
ART,美術
ASSISTANT,助手
ATTACK,アタック
AVIATION_BATTLESHIP,航空戦艦
AVIATION_CRUISER,航空巡洋艦
AWAKEN,覚醒
AXIS_CULTIST,アクシズ教徒
AVATAR,アバター
AVATAR,アバタ-
BACKPACK,ランドセル
BALANCE,バランス
BALLET,バレエ
BANANA,バナナ
BANDAGE,包帯
BATTLESHIP,戦艦
BEASTMAN,獣人
BEING,ビーイング
BENTO,お弁当
BIKE,バイク
BILUSALUDO,ビルサルド
BLACK_ARMY,黒の軍勢
BLACK_CAT_BY_CONTRACT,契約黒猫
BLACKSMITH,鍛冶
BLOOD,血
BOOK,本
BONSAI,盆栽
BREAD,パン
BRIGADE_CHIEF,団長
BROCADE,錦
BUDDY_FIGHT,バディファイト
BUG,虫
BUTLER,執事
BUDDHA_STATUE,仏像
BULLYING,いじめ
CAMERA,カメラ
CANDY,飴
CAT_CHARACTER,ネコキャラ
CAT'S_CRADLE,あやとり
CARRIER_SUBMARINE,潜水空母
CARD_GAME,カードゲーム
CEO,CEO
CHAIRMAN,委員長
CHEF,板前
CHEESE,チーズ
CHILD_ACTOR,子役
CHOCO_CORONET,チョココロネ
CHRONICLE,年代記
CHUNIBYO(SGS),厨二病
CHUNIBYO,中二病
CLOCK,時計
CLONE,クローン
CLOTH,服
CLOVER,クローバー
CLOWN,道化
COFFEE,コーヒー
COLONY,コロニー
COMEDY,お笑い
COIN,コイン
COOL,クール
COOK,コック
CORPS,兵団
COSPLAY,コスプレ
CRAB,蟹
CROQUETTE,コロッケ
CRYBABY,泣き虫
CUISINE,料理
CUP_AND_BALL,けん玉
CUTE,カワイイ
CURRY,カレー
DAI_GURREN_BRIGADE,大グレン団
DANCE,ダンス
DANGO,だんご
DARKNESS,闇
DARK_HERO,ダークヒーロー
DAUGHTER,令嬢
DEAD,死
DEALER,ディーラー
DEEP_FRIED_KEBAB,串カツ
DEAR_MY_SISTER,Dear My Sister
DEAR_MY_SISTER,DearMySister
DELINQUENT,不良
DEMON,悪魔
DEFENCE,ディフェンス
DESTROYER,駆逐艦
DETECTIVE,探偵
DOCTOR,医者
DOLL,人形
DOUBLE_TOOTH,八重歯
DRAGON,竜
DRAG_QUEEN,オカマ
DRESS,ドレス
DRILL,ドリル
ELECTRICITY,電気
ELEMENT,エレメント
ELEMENTAL,精霊
ELF,森精種
EMPIRE_STRIKES_BACK,帝国の逆襲
ENEMY,エネミー
ESPER,超能力
EXIF,エクシフ
EYEBROW,まゆげ
EYEPATCH,眼帯
GIFTED,能力者
GIGANT,ギガント
GODDESS,女神
FACTORY,工場
FAMILIAR,使い魔
FAMILY,家族
FAIRY,妖精
FAIRY_TALE,童話
FAN,扇子
FEEBLE_JOKE,だじゃれ
FIREFIGHTER,消防士
FLEUR_DE_LAPIN,フルール・ド・ラパン
FLEUR_DE_LAPIN,フルールドラパン
FLAME,炎
FLAG,旗
FLOWER,花
FLUGEL,天翼種
FEMALE_OUTFIT,女装
FIREWORKS,花火
FISH,魚
FOG,霧
FORCE_AWAKENS,フォースの覚醒
FOREIGNER,使者
FORTRESS,要塞
FORTUNE_READING,占い
FRANXX,フランクス
FRIENDS,フレンズ
FROG,カエル
FOREHEAD,オデコ
FORMULA,フォーミュラ
FUNERAL_PARLOR,葬儀社
GAME,ゲーム
GATE,門
GAMBLING,ギャンブル
GIRL,ガール
GLASSES,メガネ
GLITTER*GREEN,Glitter*Green
GLOVES,手袋
GOD,神
GO_SOCCER,囲碁サッカー
GOURMET,グルメ
GYARU,ギャル
HAPPY_HAPPY,ハピハピ
HAOURYU,覇王流
HAT,帽子
HACHIMAKI,鉢巻
HEADPHONES,ヘッドフォン
HEAL,ヒール
HEALING,癒し
HEAVY_CRUISER,重巡洋艦
HELLO_HAPPY_WORLD!,ハロー、 ハッピーワールド！
HELLO_HAPPY_WORLD!,ハロー、ハッピーワールド！
HELLO_HAPPY_WORLD!,ハロー、ハッピーワールド!
HERO,勇者
HERO(CS/PY),ヒーロー
HOMUNCULUS,ホムンクルス
HOT_BLOODED,熱血
HONOR_STUDENT,優等生
HOUSE_KEEPING,家事
HOUSEWIFE,主婦
HORN,ツノ
HUMANITY,人類
HUNGRY,腹ペコ
ICE,氷
ILLNESS,病気
INCREDULOUS,不思議
IMANITY,人類種
IMMORAL,インモラル
IMMORTAL,仙人
INFIRMARY,保健室
INFOMERCIAL,テレビ通販
JEWEL,宝石
JUDGEMENT,風紀委員
JUNES,ジュネス
KAIJU,怪獣
KARATE,空手
KAZANASHIMA,風南島
KENJUTSU,剣術
KIGURUMI,きぐるみ
KOWTOW,土下座
KNIGHT,騎士
KLAXOSAUR,叫竜
KINDERGARTEN,幼稚園
KISS,キス
KIZUNA,キズナ
KEY,鍵
LANDING_CRAFT,揚陸艦
LETTER,手紙
LIGHT_AIRCRAFT_CARRIER,軽空母
LIGHT_CRUISER,軽巡洋艦
LOGICALIST,定理者
LOVE,愛
LOVE_BLIND,メロメロ
MAGIA,マギア
MAGIC,魔法
MAID,メイド
MALE_DRESSING,男装
MANA,マナ
MANAGER,マネージャー
MANDARIN,みかん
MANGA,漫画
MARBLE,ビー玉
MASK,仮面
MASTER,マスター
MAYONNAISE,マヨネーズ
MEAT,肉
MECHA,メカ
MERMAID,人魚
MELEE,格闘
MELON_BREAD,メロンパン
MERCHANT,商人
MILK,牛乳
MIKO,巫女
MODIFICATION,改造
MOHAWK,モヒカン
MOIST_HAND_TOWEL,おしぼり
MOON,月
MOVIE,映画
MUSHROOM,キノコ
MUSCLE,筋肉
MUSIC,音楽
MYSTERIOUS,神秘
MYSTERY,謎
NARCISSIST,ナルシスト
NET,ネット
NEW_HOPE,新たなる希望
NEWS,新聞
NINJA,忍
NOBLE_PHANTASM,宝具
NOISE,ノイズ
NOVEL,小説
NURSE,ナース
OAR,櫂
OCCULT,オカルト
ODD_EYE,オッドアイ
ODDITY,怪異
ODEN,おでん
ONE_TRUE_GOD,唯一神
ONEE_SAN,おねいさん
ONI,鬼
ONLINE_GAME,ネトゲ
OPERATOR,オペレーター
OROCHI,オロチ
OTAKU,オタク
OVERBITE,出っ歯
PAJAMAS,パジャマ
PASTEL*PALETTES,Pastel＊Palettes
PARABLE,たとえ話
PARASOL,日傘
PARASITE,パラサイト
PILOT,パイロット
PIRATE,海賊
PIZZA_SAUCE,ピザソース
PLANT,植物
PLUSHIE,ヌイグルミ
POEM,ポエム
POKER,ポーカー
POISON,毒
POLICE,警察
POPPIN’PARTY,Poppin’Party
POT,鍋
POTATO,芋
PROSECUTION,検察
PROTAGONIST,主人公
PUYO,ぷよ
PRINCESS,姫
PRINNY,プリニー
PRIEST,神父
PSYCOPATH,サイコパス
PUBLIC_SAFETY,公安
PUMPKIN,かぼちゃ
QUEEN,クイーン
RABBIT,うさぎ
RABBIT_HOUSE,ラビットハウス
RAINBOW,虹
RAMEN,ラーメン
RELICS,神器
REPAIR_SHIP,工作艦
RETURN_OF_THE_JEDI,ジェダイの帰還
REVIEW,レヴュー
RICE,ごはん
ROCK,ロック
ROGUE,盗賊
ROSE,薔薇
ROSELIA,Roselia
ROYALTY,王族
SAKE,酒
SALARYMAN,サラリーマン
SALMON,シャケ
SCARF,スカーフ
SCIENCE,科学
SEAPLANE_TENDER,水上機母艦
SECRETARY,秘書
SEPTENTRION,セプテントリオン
SERVANT,サーヴァント
SISTER,シスター
SKILL,スキル
SHADOW,影
SHAVED_ICE,かき氷
SHIELD,盾
SHINIGAMI,死神
SOUTH_TOWN,暗黒街
SPEECH,演説
FLEET_GIRL,艦娘
SEXTUPLETS,6つ子
SEXY,セクシー
SLIME,スライム
SHOGI,将棋
SMARTPHONE,スマホ
SNAKE,蛇
SNOW,雪
SOS_BRIGADE,SOS団
SPECIAL_STUDENT,特待生
SPELL,おまじない
SPIRIT,霊
SPORTS,スポーツ
STAR,星
STARFISH,ヒトデ
STRIKER,ストライカー
SUBMARINE,潜水艦
SUBMARINE_TENDER,潜水母艦
SUPPORT,サポート
SUMMER,サマナー
SUMMER_POCKET,サマポケ
SUNFLOWER,日輪
SUN,太陽
SUNGLASSES,サングラス
SUPPLY_SHIP,補給艦
SWEETS,お菓子
SWIMSUIT,水着
STATIONERY,文房具
STUDENT_COUNCIL,生徒会
STUDENT_COUNCIL_PRESIDENT,生徒会長
TAIYAKI,たいやき
TAROT,タロット
TEA,お茶
TEACHER,先生
TELEVISION,テレビ
THEATER,演劇
THIEF,怪盗
THUNDER,雷
TIME,時間
TITAN,巨人
TOBACCO,タバコ
TORPEDO_CRUISER,重雷装巡洋艦
TOY,オモチャ
TRAINER,トレーナー
TRAIN_CREW,乗務員
TRAINING_CRUISER,練習巡洋艦
TRANSFORMATION,変身
TREE_CLIMBING,木登り
TRUTHFUL,正直者
TWINS,双子
UNISON,ユニゾン
UNDERWEAR,パンツ
UNDEAD,不死
UMBRELLA,傘
USAMIN,ウサミン
WAFUKU,和服
WAGASHI,和菓子
WAITRESS,ウェイトレス
WATER,水
WATER_ONI,水鬼
WATERMELON,スイカ
WAR_ONI,戦鬼
WEAK,へたれ
WEAPON,武器
WEREBEAST,獣人種
WHEELCHAIR,車椅子
WILL,遺言
WITCH'S_CULT,魔女教
WORRRIES,煩悩
VALKYRIE,ヴァルキリー
VANGUARD,ヴァンガード
VAJRA,バジュラ
VISUAL_ARTS,ビジュアルアーツ
VOID,虚無
VOICE_ACTOR,声優
ZEN,禅
ZENNY,銭
NONE,特徴なし
